# Copyright (C) 2025 by Curiosio
# Licensed under ECL (Educational Community License)

osm_id	name	country	area	bounding_box
6438299	Borba (São Bartolomeu)	Portugal	0.211405772109143	POLYGON((-7.46399546633324 38.8039743484532,-7.46399546633324 38.809628528877,-7.45637665162465 38.809628528877,-7.45637665162465 38.8039743484532,-7.46399546633324 38.8039743484532))
8422555	Jardim do Mar	Portugal	0.7116853181137802	POLYGON((-17.2170828644335 32.7315659577223,-17.2170828644335 32.750048138039,-17.2006652306875 32.750048138039,-17.2006652306875 32.7315659577223,-17.2170828644335 32.7315659577223))
4640199	Pinheiros	Portugal	2.3190255763239547	POLYGON((-8.51491261889626 42.0320324284715,-8.51491261889626 42.0457694457635,-8.48974092547587 42.0457694457635,-8.48974092547587 42.0320324284715,-8.51491261889626 42.0320324284715))
4648468	Prozelo	Portugal	4.290133410220997	POLYGON((-8.45284588318185 41.8564815969483,-8.45284588318185 41.8741858528314,-8.42022661733472 41.8741858528314,-8.42022661733472 41.8564815969483,-8.45284588318185 41.8564815969483))
8422554	Prazeres	Portugal	9.645915794116231	POLYGON((-17.2211880691507 32.7314618544849,-17.2211880691507 32.7887979278672,-17.1610597323643 32.7887979278672,-17.1610597323643 32.7314618544849,-17.2211880691507 32.7314618544849))
8427678	Gaula	Portugal	6.678986691848994	POLYGON((-16.8416070460537 32.660125739689,-16.8416070460537 32.690816664892,-16.7986293404457 32.690816664892,-16.7986293404457 32.660125739689,-16.8416070460537 32.660125739689))
8426654	São Roque	Portugal	7.210151246993563	POLYGON((-16.935851321318 32.6564750855808,-16.935851321318 32.7330882789767,-16.9137357536137 32.7330882789767,-16.9137357536137 32.6564750855808,-16.935851321318 32.6564750855808))
8435147	Ponta Delgada	Portugal	9.043099490441337	POLYGON((-17.0208330068423 32.7818418702425,-17.0208330068423 32.8304428270516,-16.9824382744325 32.8304428270516,-16.9824382744325 32.7818418702425,-17.0208330068423 32.7818418702425))
6457905	Moitas Venda	Portugal	7.06826770645867	POLYGON((-8.68853510977533 39.4804080999722,-8.68853510977533 39.5088406890032,-8.63436731197359 39.5088406890032,-8.63436731197359 39.4804080999722,-8.68853510977533 39.4804080999722))
6444511	Alto do Seixalinho, Santo André e Verderena	Portugal	7.427641011676454	POLYGON((-9.08037466626365 38.6273924590207,-9.08037466626365 38.6623723202586,-9.04316245275356 38.6623723202586,-9.04316245275356 38.6273924590207,-9.08037466626365 38.6273924590207))
6427494	Parque das Nações	Portugal	5.042486145306692	POLYGON((-9.10506716627961 38.7532329888498,-9.10506716627961 38.7967583680112,-9.08633285831553 38.7967583680112,-9.08633285831553 38.7532329888498,-9.10506716627961 38.7532329888498))
