phi_orientation_order,entropy_simplified,entropy_weighted,median_street_segment_length,avg_circuity,avg_node_degree,p_dead_ends,p_four_way,phi_shape_factor0,phi_shape_factor1,phi_shape_factor2,phi_shape_factor3,phi_shape_factor4,phi_shape_factor5,phi_shape_factor6,phi_shape_factor7,phi_shape_factor8,phi_shape_factor9,phi_shape_factor10,phi_shape_factor11,phi_shape_factor12,phi_shape_factor13,phi_shape_factor14,phi_shape_factor15,phi_shape_factor16,phi_shape_factor17,phi_shape_factor18,phi_shape_factor19,phi_shape_factor20,phi_shape_factor21,phi_shape_factor22,phi_shape_factor23,phi_shape_factor24,phi_shape_factor25,phi_shape_factor26,phi_shape_factor27,phi_shape_factor28,phi_shape_factor29,phi_log_area_2_3_0,phi_log_area_2_3_1,phi_log_area_2_3_2,phi_log_area_2_3_3,phi_log_area_2_3_4,phi_log_area_2_3_5,phi_log_area_2_3_6,phi_log_area_2_3_7,phi_log_area_2_3_8,phi_log_area_2_3_9,phi_log_area_2_3_10,phi_log_area_2_3_11,phi_log_area_2_3_12,phi_log_area_2_3_13,phi_log_area_2_3_14,phi_log_area_2_3_15,phi_log_area_2_3_16,phi_log_area_2_3_17,phi_log_area_2_3_18,phi_log_area_2_3_19,phi_log_area_2_3_20,phi_log_area_2_3_21,phi_log_area_2_3_22,phi_log_area_2_3_23,phi_log_area_2_3_24,phi_log_area_2_3_25,phi_log_area_2_3_26,phi_log_area_2_3_27,phi_log_area_2_3_28,phi_log_area_2_3_29,phi_log_area_3_4_0,phi_log_area_3_4_1,phi_log_area_3_4_2,phi_log_area_3_4_3,phi_log_area_3_4_4,phi_log_area_3_4_5,phi_log_area_3_4_6,phi_log_area_3_4_7,phi_log_area_3_4_8,phi_log_area_3_4_9,phi_log_area_3_4_10,phi_log_area_3_4_11,phi_log_area_3_4_12,phi_log_area_3_4_13,phi_log_area_3_4_14,phi_log_area_3_4_15,phi_log_area_3_4_16,phi_log_area_3_4_17,phi_log_area_3_4_18,phi_log_area_3_4_19,phi_log_area_3_4_20,phi_log_area_3_4_21,phi_log_area_3_4_22,phi_log_area_3_4_23,phi_log_area_3_4_24,phi_log_area_3_4_25,phi_log_area_3_4_26,phi_log_area_3_4_27,phi_log_area_3_4_28,phi_log_area_3_4_29,phi_log_area_4_5_0,phi_log_area_4_5_1,phi_log_area_4_5_2,phi_log_area_4_5_3,phi_log_area_4_5_4,phi_log_area_4_5_5,phi_log_area_4_5_6,phi_log_area_4_5_7,phi_log_area_4_5_8,phi_log_area_4_5_9,phi_log_area_4_5_10,phi_log_area_4_5_11,phi_log_area_4_5_12,phi_log_area_4_5_13,phi_log_area_4_5_14,phi_log_area_4_5_15,phi_log_area_4_5_16,phi_log_area_4_5_17,phi_log_area_4_5_18,phi_log_area_4_5_19,phi_log_area_4_5_20,phi_log_area_4_5_21,phi_log_area_4_5_22,phi_log_area_4_5_23,phi_log_area_4_5_24,phi_log_area_4_5_25,phi_log_area_4_5_26,phi_log_area_4_5_27,phi_log_area_4_5_28,phi_log_area_4_5_29,zoom,blocks_area,span_lat,span_lon,number_of_blocks,n_blocks_by_shape_factor0,n_blocks_by_shape_factor1,n_blocks_by_shape_factor2,n_blocks_by_shape_factor3,n_blocks_by_shape_factor4,n_blocks_by_shape_factor5,n_blocks_by_shape_factor6,n_blocks_by_shape_factor7,n_blocks_by_shape_factor8,n_blocks_by_shape_factor9,n_blocks_by_shape_factor10,n_blocks_by_shape_factor11,n_blocks_by_shape_factor12,n_blocks_by_shape_factor13,n_blocks_by_shape_factor14,n_blocks_by_shape_factor15,n_blocks_by_shape_factor16,n_blocks_by_shape_factor17,n_blocks_by_shape_factor18,n_blocks_by_shape_factor19,n_blocks_by_shape_factor20,n_blocks_by_shape_factor21,n_blocks_by_shape_factor22,n_blocks_by_shape_factor23,n_blocks_by_shape_factor24,n_blocks_by_shape_factor25,n_blocks_by_shape_factor26,n_blocks_by_shape_factor27,n_blocks_by_shape_factor28,n_blocks_by_shape_factor29,area_by_boundary,latitude,longitude,zoom_lat,zoom_lon,city_name,label
0.5139655821765705,2.918361388030325,3.021676487962208,77.99163674755805,1.0903071652593046,2.772128060263653,0.0,0.7099811676082862,0.8064516129032258,0.0,0.3225806451612902,1.4516129032258067,2.7419354838709684,2.741935483870966,3.387096774193549,2.419354838709678,2.419354838709677,2.258064516129033,2.580645161290323,1.7741935483870943,1.4516129032258067,1.451612903225807,1.2903225806451617,0.4838709677419356,0.806451612903226,1.2903225806451617,0.3225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612903225806451,0.1612903225806451,0.6451612903225803,0.3225806451612903,0.0,0.6451612903225807,0.1612903225806451,0.4838709677419355,0.0,0.4838709677419355,0.0,0.1612903225806451,0.1612903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.3225806451612902,0.3225806451612904,1.612903225806452,1.1290322580645156,1.774193548387097,1.774193548387097,1.4516129032258067,0.4838709677419356,0.6451612903225808,0.8064516129032246,0.806451612903226,0.4838709677419356,0.806451612903226,0.1612903225806452,0.1612903225806452,0.806451612903226,0.3225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806451612903226,0.9677419354838712,0.9677419354838704,1.1290322580645165,0.6451612903225808,0.1612903225806452,0.9677419354838712,0.806451612903226,0.9677419354838696,0.1612903225806452,0.6451612903225808,0.3225806451612904,0.1612903225806452,0.3225806451612904,0.3225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5949083.528743959,4.57934105108073,1.2271953143717256,186,0.8064516129032258,0.0,0.3225806451612902,1.4516129032258067,2.7419354838709684,2.741935483870966,3.387096774193549,2.419354838709678,2.419354838709678,2.258064516129033,2.5806451612903234,1.7741935483870943,1.4516129032258067,1.4516129032258067,1.2903225806451617,0.4838709677419355,0.806451612903226,1.2903225806451617,0.3225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.847654208779754,33.5860218,-112.3051917,12,14,10090611,A
0.1676951991640796,3.3912516757299325,3.3920038289885523,56.85917393035879,1.1291318754905402,2.8143382352941178,0.0,0.6102941176470589,0.9299191374663072,0.889487870619946,1.2533692722371963,1.455525606469003,1.1725067385444747,1.5768194070080852,1.9811320754716983,1.69811320754717,2.4663072776280326,1.5363881401617254,1.495956873315364,2.4663072776280286,2.102425876010782,0.8086253369272238,1.0107816711590298,1.293800539083558,1.3342318059299196,2.183288409703505,2.02156334231806,0.1617250673854448,0.1212938005390835,0.0,0.0404312668463612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808625336927223,0.1212938005390835,0.4043126684636118,0.5256064690026955,0.5660377358490567,0.7277628032345008,0.7681940700808627,0.3638814016172507,0.5256064690026955,0.3234501347708896,0.3234501347708896,0.4851752021563335,0.4447439353099731,0.1212938005390835,0.1617250673854448,0.4043126684636119,0.7681940700808627,1.0107816711590298,1.0107816711590298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212938005390835,0.7681940700808625,0.5660377358490565,0.6469002695417791,0.3234501347708896,0.4851752021563339,0.4851752021563342,0.4851752021563342,0.7277628032345015,0.2425876010781671,0.2425876010781671,0.6064690026954169,0.5660377358490567,0.3638814016172507,0.2021563342318059,0.2830188679245283,0.2425876010781671,0.2425876010781671,0.5256064690026956,0.0808625336927224,0.0404312668463612,0.0,0.0404312668463612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808625336927223,0.0,0.1617250673854447,0.2021563342318059,0.1617250673854447,0.1617250673854446,0.4043126684636119,0.2830188679245283,0.4851752021563342,0.2021563342318059,0.3638814016172507,0.646900269541778,0.1617250673854447,0.2021563342318059,0.3234501347708895,0.2830188679245283,0.2830188679245283,0.6064690026954179,0.2021563342318059,0.0808625336927223,0.0808625336927223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,59973801.85339043,3.4785928503372707,3.4537267798725515,742,0.9299191374663072,0.889487870619946,1.2533692722371963,1.455525606469003,1.1725067385444747,1.5768194070080854,1.9811320754716983,1.69811320754717,2.466307277628033,1.5363881401617254,1.495956873315364,2.4663072776280286,2.1024258760107823,0.8086253369272238,1.0107816711590298,1.2938005390835583,1.3342318059299194,2.183288409703505,2.02156334231806,0.1617250673854448,0.1212938005390835,0.0,0.0404312668463612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.320919115510048,33.685248599999994,-117.81740195,12,13,10840800,A
0.0725619826044456,3.502752762935122,3.498414602092458,97.26542409211832,1.152863359349135,2.6546762589928057,0.0,0.7338129496402878,1.0135135135135136,0.8108108108108109,0.4054054054054053,1.4189189189189193,1.4189189189189193,2.2297297297297285,1.418918918918919,1.4189189189189193,3.040540540540541,1.8243243243243248,2.837837837837838,2.8378378378378337,2.027027027027027,1.216216216216217,1.216216216216217,2.22972972972973,0.2027027027027027,1.2162162162162165,0.8108108108108111,0.2027027027027027,0.2027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081081081081081,0.0,0.4054054054054055,0.6081081081081082,0.4054054054054052,0.4054054054054055,0.4054054054054055,0.8108108108108111,0.2027027027027027,0.6081081081081082,0.6081081081081072,0.2027027027027027,0.4054054054054055,0.4054054054054055,0.2027027027027027,0.0,0.2027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027027027027027,0.2027027027027027,0.4054054054054053,0.8108108108108111,0.4054054054054055,1.418918918918918,1.0135135135135136,0.6081081081081082,1.4189189189189193,0.8108108108108111,1.2162162162162165,1.013513513513512,0.4054054054054055,0.2027027027027027,0.4054054054054055,0.6081081081081082,0.0,1.0135135135135136,0.8108108108108111,0.2027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027027027027027,0.4054054054054055,0.4054054054054051,0.0,0.4054054054054055,0.810810810810811,0.4054054054054055,0.810810810810811,0.8108108108108096,0.6081081081081081,0.4054054054054055,0.2027027027027027,1.2162162162162162,0.2027027027027027,0.0,0.0,0.0,0.2027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4881921.105829975,4.645167972960509,4.41272053662315,148,1.0135135135135136,0.8108108108108109,0.4054054054054053,1.4189189189189193,1.4189189189189193,2.229729729729728,1.4189189189189193,1.4189189189189193,3.040540540540541,1.8243243243243248,2.8378378378378386,2.8378378378378337,2.027027027027027,1.2162162162162165,1.2162162162162165,2.2297297297297303,0.2027027027027027,1.2162162162162165,0.810810810810811,0.2027027027027027,0.2027027027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.637335110172764,38.3512245,-120.7737643,12,12,11049835,A
0.3914755409420615,3.100615350654061,3.240838289250767,62.14979040993383,1.179227452288614,2.873799725651577,0.0,0.654320987654321,0.1851851851851851,0.4938271604938271,1.419753086419753,1.7283950617283954,1.2962962962962965,2.098765432098764,2.037037037037037,3.0864197530864206,1.6049382716049387,2.6543209876543217,1.9753086419753088,2.469135802469132,1.6666666666666672,1.234567901234568,1.1111111111111114,1.2345679012345685,0.9259259259259262,0.8024691358024693,1.4197530864197534,0.308641975308642,0.0617283950617284,0.0,0.1234567901234568,0.0,0.0,0.0617283950617284,0.0,0.0,0.0,0.0,0.0617283950617283,0.1234567901234567,0.6172839506172839,0.6790123456790125,0.7407407407407409,1.1728395061728387,1.1728395061728396,1.6666666666666672,0.4320987654320989,1.234567901234568,0.5555555555555556,0.7407407407407397,0.3703703703703704,0.308641975308642,0.1234567901234568,0.4320987654320989,0.4320987654320989,0.308641975308642,0.4320987654320989,0.1234567901234568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617283950617283,0.3086419753086419,0.4320987654320987,0.7407407407407409,0.2469135802469136,0.3703703703703701,0.308641975308642,0.5555555555555557,0.2469135802469136,0.8024691358024694,0.2469135802469136,0.4938271604938264,0.4320987654320988,0.1851851851851852,0.2469135802469136,0.3703703703703704,0.0617283950617284,0.1851851851851852,0.4320987654320988,0.0,0.0,0.0,0.1234567901234568,0.0,0.0,0.0617283950617284,0.0,0.0,0.0,0.0,0.0,0.0617283950617283,0.3703703703703703,0.2469135802469136,0.2469135802469136,0.4320987654320985,0.2469135802469136,0.4938271604938273,0.308641975308642,0.1234567901234568,0.2469135802469136,0.3703703703703699,0.4938271604938273,0.3703703703703704,0.3703703703703704,0.2469135802469136,0.308641975308642,0.1851851851851852,0.308641975308642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,10356906.505976235,3.698604630176909,5.174832826648897,486,0.1851851851851851,0.4938271604938271,1.419753086419753,1.7283950617283956,1.2962962962962965,2.098765432098764,2.0370370370370376,3.08641975308642,1.6049382716049387,2.6543209876543217,1.9753086419753088,2.469135802469132,1.6666666666666672,1.234567901234568,1.1111111111111114,1.234567901234568,0.9259259259259262,0.8024691358024694,1.4197530864197534,0.308641975308642,0.0617283950617284,0.0,0.1234567901234568,0.0,0.0,0.0617283950617284,0.0,0.0,0.0,0.0,8.514512110938945,33.502472850000004,-112.3517421,12,12,110811,A
0.10271133261758,3.4680625828760814,3.4996258739725383,75.84255942363428,1.117850354045444,2.6509129967776586,0.0,0.6745435016111708,0.1162790697674418,0.1162790697674418,0.2325581395348836,0.6976744186046513,2.0930232558139537,2.4418604651162776,1.976744186046512,2.0930232558139537,3.2558139534883725,2.9069767441860472,2.325581395348838,3.023255813953484,1.162790697674419,1.3953488372093026,0.8139534883720931,1.3953488372093026,0.930232558139535,0.5813953488372093,1.744186046511628,0.2325581395348837,0.4651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162790697674418,0.1162790697674418,0.0,0.2325581395348838,0.3488372093023256,0.8139534883720926,0.6976744186046513,0.9302325581395352,0.5813953488372094,0.8139534883720934,0.4651162790697676,0.9302325581395336,0.4651162790697676,0.3488372093023256,0.2325581395348838,0.4651162790697676,0.1162790697674419,0.0,0.1162790697674419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162790697674418,0.3488372093023256,0.930232558139535,1.0465116279069762,1.162790697674419,0.6976744186046512,1.6279069767441865,0.8139534883720931,0.8139534883720931,1.0465116279069753,0.3488372093023256,0.930232558139535,0.2325581395348837,0.6976744186046512,0.6976744186046512,0.3488372093023256,1.3953488372093024,0.1162790697674418,0.4651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4651162790697675,0.1162790697674418,0.0,0.2325581395348837,0.5813953488372094,1.162790697674419,0.8139534883720932,0.8139534883720919,0.3488372093023256,0.0,0.3488372093023256,0.2325581395348837,0.1162790697674418,0.2325581395348837,0.2325581395348837,0.1162790697674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,7940347.316480173,4.2700091431541365,3.3670034591810545,258,0.1162790697674418,0.1162790697674418,0.2325581395348836,0.6976744186046513,2.093023255813954,2.4418604651162776,1.976744186046512,2.093023255813954,3.255813953488373,2.906976744186047,2.325581395348838,3.023255813953484,1.162790697674419,1.3953488372093026,0.8139534883720932,1.3953488372093026,0.9302325581395352,0.5813953488372094,1.7441860465116283,0.2325581395348837,0.4651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.851618778046187,37.984044,-120.377832,12,13,112236,A
0.4795542449915289,2.97167954309184,2.813845764083066,91.70222247898845,1.1032692666221986,2.888283378746594,0.0,0.6389645776566758,0.5136986301369864,0.7191780821917808,1.0273972602739725,0.8219178082191781,1.541095890410959,0.9246575342465748,1.7465753424657535,1.849315068493151,2.157534246575343,2.157534246575343,1.5410958904109593,1.643835616438354,1.5410958904109593,4.315068493150686,1.5410958904109593,0.9246575342465756,1.2328767123287674,1.13013698630137,1.8493150684931512,0.719178082191781,0.0,0.0,0.0,0.1027397260273969,0.0,0.0,0.0,0.0,0.0,0.0,0.1027397260273972,0.1027397260273972,0.4109589041095889,0.2054794520547945,0.6164383561643837,0.3082191780821915,0.3082191780821918,0.719178082191781,0.8219178082191783,0.2054794520547945,0.2054794520547945,0.2054794520547942,0.3082191780821918,0.2054794520547945,0.2054794520547945,0.0,0.3082191780821918,0.2054794520547945,0.8219178082191783,0.0,0.0,0.0,0.0,0.1027397260273969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082191780821918,0.5136986301369861,0.3082191780821918,0.3082191780821918,0.2054794520547944,1.13013698630137,0.9246575342465756,0.8219178082191783,0.8219178082191783,0.3082191780821918,0.3082191780821913,1.0273972602739727,3.5958904109589045,0.5136986301369864,0.4109589041095891,0.1027397260273972,0.2054794520547945,0.3082191780821918,0.2054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027397260273972,0.3082191780821918,0.0,0.0,0.3082191780821918,0.0,0.1027397260273973,0.1027397260273973,0.2054794520547946,0.8219178082191784,0.8219178082191784,0.6164383561643828,0.2054794520547946,0.5136986301369865,0.8219178082191784,0.4109589041095892,0.5136986301369865,0.6164383561643837,0.719178082191781,0.5136986301369865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9460007.34321896,4.654080048681703,3.858981852637284,292,0.5136986301369864,0.7191780821917808,1.0273972602739725,0.8219178082191783,1.5410958904109593,0.9246575342465748,1.7465753424657535,1.849315068493151,2.157534246575343,2.157534246575343,1.5410958904109593,1.643835616438354,1.5410958904109593,4.315068493150686,1.5410958904109593,0.9246575342465756,1.2328767123287674,1.1301369863013702,1.849315068493151,0.719178082191781,0.0,0.0,0.0,0.1027397260273969,0.0,0.0,0.0,0.0,0.0,0.0,6.520385431434032,36.6218407,-119.67151835,12,13,112403,A
0.2615963662755167,3.2747505364299063,3.252240762314212,51.47152771305969,1.079913878561062,2.8898678414096914,0.0,0.6046255506607929,0.3141361256544502,0.706806282722513,0.4712041884816752,1.2565445026178013,1.8848167539267016,1.3350785340314126,1.649214659685864,2.2774869109947646,2.827225130890053,2.5130890052356025,2.198952879581152,2.434554973821986,2.12041884816754,1.649214659685864,1.4136125654450262,1.4136125654450262,0.6282722513089006,1.5706806282722516,0.7853403141361257,0.1570680628272251,0.3141361256544503,0.0,0.0785340314136125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2356020942408376,0.5497382198952879,0.3141361256544501,0.549738219895288,1.1780104712041888,0.6282722513089002,0.7068062827225131,0.9424083769633508,1.1780104712041888,0.9424083769633508,0.9424083769633508,0.6282722513088996,0.549738219895288,0.3926701570680628,0.549738219895288,0.4712041884816754,0.3141361256544503,0.4712041884816754,0.3141361256544503,0.0,0.0785340314136125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1570680628272251,0.1570680628272251,0.549738219895288,0.3926701570680628,0.5497382198952876,0.4712041884816754,1.099476439790576,0.4712041884816754,0.4712041884816754,0.4712041884816754,0.3141361256544498,0.3926701570680628,0.3926701570680628,0.2356020942408377,0.3926701570680628,0.0,0.4712041884816754,0.3926701570680628,0.0785340314136125,0.0,0.0,0.0785340314136125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1570680628272251,0.2356020942408377,0.0785340314136125,0.2356020942408377,0.2356020942408377,0.5497382198952881,0.7068062827225132,0.6282722513089006,0.6282722513088996,0.6282722513089006,0.7068062827225132,0.2356020942408377,0.3926701570680629,0.1570680628272251,0.4712041884816755,0.0,0.0785340314136125,0.2356020942408377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,20741947.11088565,2.4597406401215123,2.312169835397857,382,0.3141361256544502,0.7068062827225131,0.4712041884816753,1.2565445026178013,1.8848167539267016,1.3350785340314129,1.649214659685864,2.277486910994765,2.827225130890053,2.5130890052356025,2.1989528795811526,2.434554973821986,2.12041884816754,1.649214659685864,1.4136125654450264,1.4136125654450264,0.6282722513089006,1.5706806282722516,0.7853403141361258,0.1570680628272251,0.3141361256544503,0.0,0.0785340314136125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1930737546779526,50.44942575,2.7436813,12,13,1164679,A
0.5907399364317841,2.792136144244582,2.7718078848565337,54.7581858486692,1.0564172711069024,2.9963201471941123,0.0,0.6301747930082797,0.2763561924257932,0.3684749232343909,0.9211873080859772,1.7195496417604914,1.65813715455476,1.4431934493346972,1.9037871033776868,1.8730808597748212,2.425793244626408,1.6581371545547596,1.9037871033776872,2.579324462640733,1.4124872057318325,1.4124872057318325,2.2108495394063463,2.487205731832139,1.2896622313203687,1.166837256908905,0.9825997952917096,0.1228249744114637,0.1535312180143296,0.0307062436028659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1535312180143295,0.2763561924257932,0.4912998976458544,1.0440122824974412,0.7062436028659161,0.3991811668372566,0.6755373592630501,0.6141248720573184,0.767656090071648,0.6141248720573184,0.2763561924257933,0.5527123848515856,0.368474923234391,0.368474923234391,0.4298874104401229,0.368474923234391,0.368474923234391,0.4912998976458547,0.368474923234391,0.0,0.0307062436028659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307062436028659,0.3991811668372568,0.5220061412487207,0.6141248720573185,0.7369498464687815,0.736949846468782,0.736949846468782,0.8597748208802458,0.5527123848515866,0.5834186284544525,1.2589559877175005,0.3377686796315251,0.3377686796315251,0.6141248720573185,0.6141248720573185,0.1228249744114637,0.1228249744114637,0.2149437052200614,0.0307062436028659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307062436028659,0.0,0.0921187308085977,0.0921187308085977,0.1228249744114635,0.0614124872057318,0.1228249744114636,0.3377686796315251,0.1535312180143296,0.1842374616171955,0.3070624360286587,0.4298874104401229,0.4298874104401229,0.767656090071648,1.0440122824974414,0.4298874104401229,0.2149437052200614,0.1228249744114636,0.0,0.0307062436028659,0.0307062436028659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,72311167.53248025,2.0368920938931407,4.415622492115828,977,0.2763561924257932,0.368474923234391,0.9211873080859772,1.719549641760492,1.65813715455476,1.4431934493346972,1.9037871033776872,1.8730808597748212,2.425793244626408,1.65813715455476,1.9037871033776872,2.579324462640733,1.4124872057318325,1.4124872057318325,2.2108495394063463,2.48720573183214,1.2896622313203687,1.166837256908905,0.9825997952917096,0.1228249744114637,0.1535312180143296,0.0307062436028659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.968350253595832,42.006333,-87.73566735,13,12,122052,A
0.6789035477843879,2.6315049033744806,2.827489460619701,79.45336756244882,1.0856083171847415,2.7773584905660376,0.0,0.6830188679245283,0.7653061224489794,0.7653061224489797,0.7653061224489793,2.6020408163265305,2.1428571428571432,1.530612244897958,2.4489795918367347,2.1428571428571432,1.8367346938775515,1.8367346938775515,1.6836734693877555,1.530612244897957,2.295918367346939,2.448979591836735,0.9183673469387758,1.6836734693877553,0.7653061224489797,0.9183673469387756,0.6122448979591838,0.0,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530612244897959,0.4591836734693876,2.295918367346939,0.6122448979591838,0.4591836734693874,1.0714285714285716,0.3061224489795919,0.7653061224489797,0.6122448979591838,0.0,0.1530612244897957,0.1530612244897959,0.3061224489795919,0.1530612244897959,0.3061224489795919,0.1530612244897959,0.0,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4591836734693877,0.6122448979591837,0.3061224489795917,0.1530612244897959,1.2244897959183676,0.9183673469387748,1.0714285714285718,0.9183673469387756,0.6122448979591838,0.4591836734693878,1.2244897959183676,0.3061224489795914,0.4591836734693878,0.4591836734693878,0.4591836734693878,0.3061224489795919,0.1530612244897959,0.1530612244897959,0.0,0.0,0.1530612244897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530612244897959,0.3061224489795919,0.1530612244897958,0.1530612244897959,0.7653061224489797,0.1530612244897959,0.4591836734693878,0.3061224489795919,0.6122448979591828,1.2244897959183676,1.3775510204081634,0.1530612244897959,0.9183673469387756,0.4591836734693878,0.1530612244897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8689329.963444643,2.6552755831396206,2.445370414449484,196,0.7653061224489796,0.7653061224489796,0.7653061224489794,2.6020408163265314,2.1428571428571432,1.5306122448979582,2.448979591836735,2.1428571428571432,1.8367346938775515,1.8367346938775515,1.6836734693877553,1.5306122448979569,2.2959183673469394,2.448979591836735,0.9183673469387756,1.6836734693877553,0.7653061224489798,0.9183673469387756,0.6122448979591838,0.0,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997765001029187,41.59158215,-87.8471765,12,13,122978,A
0.8437947578892263,2.254711338999635,2.5970947276486624,87.42197788266863,1.1222346640206975,2.823741007194245,0.0,0.6312949640287769,0.3061224489795918,0.0,0.0,0.3061224489795919,0.3061224489795919,0.4591836734693875,1.3775510204081636,0.7653061224489799,1.3775510204081636,1.9897959183673477,1.0714285714285718,3.21428571428571,2.142857142857144,3.0612244897959187,1.8367346938775515,3.367346938775511,1.6836734693877555,3.8265306122448983,2.602040816326532,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530612244897959,0.3061224489795919,0.4591836734693875,0.7653061224489798,0.0,0.1530612244897959,0.1530612244897959,0.1530612244897959,0.4591836734693871,0.6122448979591839,0.3061224489795919,0.0,0.3061224489795919,0.0,0.0,0.1530612244897959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530612244897959,0.0,0.0,0.1530612244897959,0.0,0.0,0.6122448979591839,0.3061224489795919,0.6122448979591839,0.7653061224489798,0.0,0.4591836734693871,0.1530612244897959,0.6122448979591839,0.7653061224489798,1.6836734693877555,1.3775510204081636,2.908163265306123,2.142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3061224489795919,0.0,0.7653061224489799,0.4591836734693879,0.9183673469387744,0.7653061224489799,1.2244897959183676,0.4591836734693879,1.3775510204081636,0.3061224489795919,0.9183673469387758,0.3061224489795919,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,17003470.150614202,3.356991287744604,4.354875619614147,196,0.3061224489795918,0.0,0.0,0.3061224489795919,0.3061224489795919,0.4591836734693875,1.3775510204081636,0.7653061224489798,1.3775510204081636,1.9897959183673477,1.0714285714285716,3.214285714285709,2.1428571428571432,3.061224489795919,1.8367346938775515,3.3673469387755106,1.6836734693877553,3.8265306122448974,2.6020408163265314,0.3061224489795919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.449876682484515,38.2072911,-90.0017026,12,12,125939,A
